User,Date Created,Number of Likes,Number of Retweets,Source of Tweet,Tweet
Tim Cook,2023-12-25 17:00:00+00:00,13761,864,,Wishing everyone a day full of joy and the spirit of the season. Merry Christmas! 🎄
Tim Cook,2023-12-13 23:52:23+00:00,4774,510,,"Congrats to the newest Apple Developer Academy graduates in Brazil, Korea, and Indonesia! The program is designed to help students prepare for careers in the iOS app economy and it’s incredible to see the accomplishments since we established the program in Brazil 10 years ago. https://t.co/mb5wVi120g"
Tim Cook,2023-12-07 22:00:00+00:00,5032,385,,Happy Hanukkah to everyone celebrating around the world! May your Festival of Lights be filled with the love and warmth of family and friends. 🕎
Tim Cook,2023-12-04 19:45:17+00:00,5177,457,,"A huge thank you to the incomparable David Hockney for helping us get into the spirit of the season! Your new artwork, Bigger Christmas Trees, created on iPad looks incredible on London’s Battersea Power Station. Happy holidays everyone! https://t.co/6EwFgP9Lik"
Tim Cook,2023-12-03 17:00:00+00:00,8694,722,,"At Apple, we believe in making technology accessible to all. On this International Day of Persons with Disabilities and every day, we are proud to partner with the disability community as we strive for a more equitable world."
Tim Cook,2023-12-01 21:00:01+00:00,2416,261,,"We are proud to support @RED and the @GlobalFund in their work to end HIV/AIDS. With the help of our customers around the world, millions in sub-Saharan Africa have received access to lifesaving care. Together, we are making a difference. #WorldAidsDay https://t.co/1XDPQTBP94"
Tim Cook,2023-12-01 17:40:15+00:00,2195,229,,"As our nation’s first female Supreme Court justice, Sandra Day O’Connor exemplified grace and tenacity. Her legacy and lifetime of service will continue to inspire future generations to blaze new trails and search for what is just. May she rest in peace. https://t.co/cacnRw2tsA"
Tim Cook,2023-11-30 17:00:02+00:00,13496,1715,,"For those at risk of speech loss, we’ve made it possible to preserve your voice on your devices so even if you can no longer speak, you can still sound like you. It’s remarkable to see the experiences this technology helps preserve, while also protecting your privacy. https://t.co/Vir3VQbhOA"
Tim Cook,2023-11-30 04:04:08+00:00,3737,360,,"We’re always so impressed to see the innovation and thoughtful perspectives of the @AppStore Award winners each year. Here’s to the creativity of developers and entrepreneurs driving endless possibilities.
https://t.co/JCO6VZbTF7"
Tim Cook,2023-11-28 23:53:48+00:00,15706,1854,,"A titan of business and keen observer of the world around him, Charlie Munger helped build an American institution, and through his wisdom and insights, inspired a generation of leaders. He will be sorely missed. Rest in peace Charlie. https://t.co/vNGDktOAhz"
Tim Cook,2023-11-23 16:00:02+00:00,9878,673,,"Wishing everyone a Thanksgiving filled with joy, togetherness, and the spirit of generosity."
Tim Cook,2023-11-20 21:28:31+00:00,3635,373,,"On this #TransgenderDayofRemembrance and every day, we lift up individuals who valiantly fought to live their truth. We honor their memories by continuing to build more inclusive societies where everyone can live free from fear."
Tim Cook,2023-11-20 01:09:04+00:00,3558,321,,"Rosalynn Carter exemplified the best of America with her grace, her leadership, and her service to others.  As a dedicated humanitarian and a champion for mental heath, her legacy will be as lasting as it is inspirational. My thoughts are with the Carter family. https://t.co/l3ypwX17uA"
Tim Cook,2023-11-15 15:03:20+00:00,9621,840,,"A year ago today, we launched Emergency SOS via satellite. Today, we’re extending free access to this lifesaving technology for existing iPhone 14 users for another year. https://t.co/qtEad9JN35"
Tim Cook,2023-11-12 04:30:01+00:00,38301,1942,,"Happy Diwali! May your celebrations be filled with warmth, prosperity, and the joy of being together. Shot on iPhone 15 Pro Max by Chandan Khanna. https://t.co/OQlUiKjvam"
Tim Cook,2023-11-11 16:00:01+00:00,4761,363,,"We owe a tremendous debt to all those who served our nation courageously and selflessly, as well as to their families, whose sacrifices make service possible. I am deeply grateful for your commitment to our country. #VeteransDay"
Tim Cook,2023-11-07 16:00:02+00:00,7578,640,,"We’ve brought the new M3 family of chips to iMac and the new MacBook Pro lineup, and they’re now available! There’s never been a better time to experience a Mac. https://t.co/TOXR5sV06i"
Tim Cook,2023-11-02 14:50:35+00:00,3832,517,,"A song 40 years in the making — @thebeatles’ 'Now and Then’ is available on Apple Music today!

https://t.co/U9zdJC9eKd"
Tim Cook,2023-11-01 19:38:47+00:00,2456,269,,"This Native American Heritage Month, we celebrate and recognize the rich cultures and traditions of Native communities and their countless contributions to our world."
Tim Cook,2023-10-31 01:13:17+00:00,20162,2505,,"Introducing the new MacBook Pro lineup and iMac with the most advanced chips ever built for a personal computer. Say hello to M3, M3 Pro, and M3 Max—the latest breakthroughs in Apple silicon! #AppleEvent https://t.co/NavwrjJK02"
Tim Cook,2023-10-30 16:00:01+00:00,47432,3548,,"We’ve got something special for you tonight. No tricks, just treats. Tune in at 5pm PT. #AppleEvent https://t.co/Cs5Dub7Q02"
Tim Cook,2023-10-25 20:01:08+00:00,12597,1315,,The double tap gesture for Apple Watch Series 9 and Ultra 2 is here! 🤏🏼🤏🏼 https://t.co/4WXi3MOPw6
Tim Cook,2023-10-19 22:30:11+00:00,4729,414,,"Thanks to director Martin Scorsese, Chief Standing Bear, and producer Chad Renfro of the Osage Nation for joining us for a screening of Killers of the Flower Moon, opening in theaters on Friday. This is a story far too few people know, and it’s now a story we will never forget. https://t.co/dWQKNH3aKc"
Tim Cook,2023-10-17 00:34:36+00:00,6869,880,,¡La tienda Apple Store online llega a Chile! We’re excited to bring the best of Apple to even more customers around the world.  https://t.co/mhpaRTA3aw
Tim Cook,2023-10-05 19:29:25+00:00,9940,1131,,"If you’ve ever had a teacher who helped you dream bigger, reach higher, and go after your goals, make sure to thank them today. #WorldTeachersDay"
Tim Cook,2023-10-05 15:42:14+00:00,69311,6931,,"Thinking back on a pioneer who challenged conventions, a visionary who changed the world, a mentor, and a friend. We miss you, Steve. https://t.co/rKn6mBHecI"
Tim Cook,2023-10-04 15:24:16+00:00,1604,181,,"This Hispanic Heritage Month, as we celebrate the contributions of so many communities, we’re shining a light on some of our Community Education Initiative partners in Houston who are empowering the next generation of Hispanic leaders and innovators. https://t.co/JZ5Tg2WLQ7"
Tim Cook,2023-09-30 00:21:53+00:00,2793,212,,"Dianne Feinstein devoted her life to California and to public service, and she spent decades breaking barriers and blazing a trail for so many to follow. May she rest in peace."
Tim Cook,2023-09-29 09:24:53+00:00,15124,1232,,"It was a true honor to meet with the Prince and Princess of Wales. We had a wonderful and wide-ranging discussion about the environment, mental health, and other issues that mean a great deal to all of us. https://t.co/QGVmxo9Qa5"
Tim Cook,2023-09-28 19:08:43+00:00,2928,201,,"From @saveyrwardrobe’s AI wardrobe maximization tools to @GymStreak’s mobile personal trainer and @nightsky’s magical stargazing app, they’re helping people live better, fuller lives. https://t.co/s3SbKkM5SE"
Tim Cook,2023-09-28 16:47:56+00:00,3654,298,,"At Apple, we want to invest in the communities we operate in, and that’s one of the many reasons we’re proud to support @StMarys_SW8, which is located in Battersea. Really enjoyed my visit there today, and loved seeing what students are creating on iPad. https://t.co/5rfblcOcSy"
Tim Cook,2023-09-28 13:38:38+00:00,6489,425,,"Apple has a 40-year history in the UK, so we were honored to have a chance to restore the Battersea Power Station and make it the location of our UK headquarters and our newest store, Apple Battersea! Thank you to our customers—and the incredible teams who support them! https://t.co/ogrPkjWdrL"
Tim Cook,2023-09-27 19:57:56+00:00,6109,433,,"Thanks to investments in renewable energy projects like this solar farm in Thisted Denmark, Apple has been running on 100% renewable energy since 2018. We plan to be carbon neutral for all of our products by 2030. https://t.co/dTVw6vNSAu"
Tim Cook,2023-09-27 15:34:08+00:00,4508,299,,.@LukasGraham lead singer Lukas Forchhammer welcomed me into his Copenhagen studio where I had the chance to listen to a few incredible songs in Spatial Audio. Thanks so much for spending the time—and for sharing your creativity in action. https://t.co/rqChqfxXQk
Tim Cook,2023-09-27 09:21:15+00:00,4753,352,,"Europe's developers are tackling climate change creatively!
🥖 @TooGoodToGo redistributes unsold food from restaurants
🥡@myvytal created a reusable container system for takeout
🔌 Min Strøm empowers people to adjust their electricity usage
♻️ Bower rewards users for recycling https://t.co/fYv28HZWAW"
Tim Cook,2023-09-26 18:47:01+00:00,14489,466,,Thank you to @rasmusbrohave for showing me around Copenhagen and its beautiful historic canal in Nyhavn! https://t.co/EH6nu2aO55
Tim Cook,2023-09-26 10:00:29+00:00,10520,521,,Great to connect with team members and customers at Apple Brussels! https://t.co/RYW2NOGiM9
Tim Cook,2023-09-25 17:43:26+00:00,6402,383,,"As a lifelong cycling fan, it was an honor to meet Jumbo-Visma’s Riejanne Markus and @RichardPlugge and celebrate the Netherlands’s favorite sport! 🚴‍♀️ @Relivecc developer Lex Daniels has created an app that supports riders at every phase of their cycling journeys. https://t.co/smFMvyDt2F"
Tim Cook,2023-09-25 15:53:01+00:00,4236,340,,"iPhone is the best mobile gaming platform in the world, and we’re glad to have developers like @GameHouse in Eindhoven that create inclusive games driven by inspiring stories and strong characters. Congratulations Simonetta and team! https://t.co/2N3Nb5injl"
Tim Cook,2023-09-25 14:53:40+00:00,4029,329,,"Great meeting with the team at @NXP in the Netherlands, where they shared the work they’re doing as part of their commitment to decarbonize their entire Apple production footprint. NXP’s chips are in many of our products, including our new carbon neutral Apple Watch lineup! https://t.co/r1whVi75w5"
Tim Cook,2023-09-25 07:09:01+00:00,7741,558,,"Thank you, Madrid, for an unforgettable visit!

In this beautiful photo, photographer @ereaazurmendi uses the 5x Telephoto on iPhone 15 Pro Max to capture the morning light as it pours through the windows at Palacio de Cristal in Madrid’s El Retiro Park. #SOiP https://t.co/4G1S0moQe0"
Tim Cook,2023-09-24 21:41:03+00:00,9081,585,,"What a match! Amazing to be at the derbi madrileño to see two of Spain’s best teams, @realmadrid and @atleti, go head to head! Great to watch with @IvanaAndresSanz, Enzo Alves Viera, and friends. ⚽️ https://t.co/w7fzdqINzg"
Tim Cook,2023-09-24 17:09:17+00:00,5746,508,,"What an incredible honor to meet gold medalist @teresa_perales, Spain’s most decorated Paralympian. Teresa, thank you for a great discussion on our accessibilty features and the ways you use Apple Watch to train. We’ll be cheering you on in Paris 2024! 🏊‍♀️⌚️ https://t.co/DdfEVjWMJS"
Tim Cook,2023-09-24 15:39:49+00:00,4316,296,,Artist Ignasi Monreal’s iPad Pro and Procreate creations are a mesmerizing blend of traditional and digital artistry. Thanks for sharing your techniques and inspiring us all! https://t.co/sHWGyxMhfW
Tim Cook,2023-09-24 12:08:50+00:00,6038,428,,Madrid's @modemovimiento restaurant is truly extraordinary. Thank you Lucas for sharing your detailed approach to sustainability and for your deep commitment to protecting the planet. And thanks @victor_abarca for joining me. https://t.co/z3AFvakTCC
Tim Cook,2023-09-24 10:45:20+00:00,3299,280,,"Madrid’s EFTI film school shared how they’re integrating iPhone into their curriculum, helping next-generation creatives unleash their potential. Thanks Beatriz Martinez and @HernanZin for sharing your passion for #ShotOniPhone photography and filmmaking! https://t.co/vUTjMQBk7x"
Tim Cook,2023-09-23 18:08:53+00:00,12650,845,,Tonight’s performance at Apple Puerta del Sol in Madrid made me a Guitarricadelafuente fan for life! It was an unforgettable moment with customers and our team. https://t.co/Q61bMGSRPK
Tim Cook,2023-09-23 16:49:06+00:00,11050,789,,"Amazing meal with the incomparable chef @Dabizdiverxo at Lhardy in the heart of Madrid — with the best cocido madrileño! Thanks, Dabiz, for sharing how you’re using iPhone 15 Pro Max in your creative process! https://t.co/39twnk5U3Y"
Tim Cook,2023-09-23 15:34:45+00:00,22452,2436,,What an honor to spend time with the legendary @RealMadrid team and their youth team players. Thank you for the warm welcome to Spain! 🇪🇸⚽️ https://t.co/zwgTLa1eKX
Tim Cook,2023-09-22 16:29:35+00:00,9481,922,,"Loved celebrating our incredible new lineup of products today at Apple Fifth Avenue. Around the world, the all-new iPhone 15 family, first carbon-neutral models of Apple Watch, and the latest AirPods are here, and they’ve never been more essential! https://t.co/XNRotJdsb6"
Tim Cook,2023-09-22 01:55:32+00:00,7728,579,,World-renowned photographers Stephen Wilkes and Reuben Wu show us creativity is limitless with iPhone 15 Pro Max. Their vivid photos display breathtaking views from the beauty of summer in Rhode Island to the other-worldly deserts of Utah. Thank you for showing me your work. 🙏🏻 https://t.co/6kYnln7HYF
Tim Cook,2023-09-15 21:00:01+00:00,6782,373,,"To all those celebrating Rosh Hashanah, wishing you a happy New Year!"
Tim Cook,2023-09-12 23:00:02+00:00,61656,8258,,"At Apple, we believe that climate change is one of the world’s most urgent priorities and we are deeply committed to doing our part. Today we had a special guest—a real force of nature—stop by to check on our progress. https://t.co/neLSEqPmGu"
Tim Cook,2023-09-12 21:00:01+00:00,15466,1530,,"Today we announced Apple’s first carbon neutral products with models of Apple Watch Series 9, Ultra 2, and SE. By 2030, all of our products will be carbon neutral! https://t.co/wIFSv219M9"
Tim Cook,2023-09-12 18:29:21+00:00,61124,8017,,"Meet iPhone 15 Pro &amp; Pro Max! Powered by A17 Pro, which ushers in a new era of Apple Silicon, these products unlock new performance capabilities, amazing photography, next-level gaming, and more. And with an all-new titanium design, they're our lightest weight Pro models yet! https://t.co/kZxWCPj0Vl"
Tim Cook,2023-09-12 14:00:00+00:00,132087,9336,,It’s almost Time! See ya soon! #AppleEvent https://t.co/gy47f9ZBjU
Tim Cook,2023-09-10 01:12:38+00:00,17292,1585,,"Our hearts go out to all of those in Morocco impacted by the terrible earthquake. We’re thinking about you, and Apple will be making a donation to relief efforts on the ground."
Tim Cook,2023-09-08 01:22:16+00:00,7881,463,,Great day in Austin — stopped by Apple Domain NORTHSIDE and got to visit with our teams at Parmer Lane and Austin Campus 2! https://t.co/NMfBcAF7tw
Tim Cook,2023-09-02 16:49:21+00:00,6817,468,,"Jimmy Buffet was a great entertainer who helped us hear the music of life. He’ll be sorely missed, and I hope he‘s found that lost shaker of salt. 🎶 🏝️ https://t.co/eQqFQVGpqn"
Tim Cook,2023-08-24 14:51:46+00:00,1900,200,,"Ahead of the National Park Service’s 107th anniversary, we celebrate nature’s ability to bring people together and honor the Indigenous communities who continue to serve as dedicated stewards of the land. https://t.co/oEuKFpNboA"
Tim Cook,2023-08-23 22:01:16+00:00,9607,1180,,An incredible use of LiDAR technology and iPhone 14 Pro! 🐶 https://t.co/aEvROmv9JG
Tim Cook,2023-08-19 16:00:00+00:00,7061,555,,"Lens, light, and limitless creativity — celebrating the vision of photographers and the power of iPhone on this World Photography Day!

#ShotOniPhone by Altamash Javed (IG: aljvd) and Nicole Shabada (IG: nicolebreanne) https://t.co/ODic8rv6Eh"
Tim Cook,2023-08-10 23:02:57+00:00,8354,604,,Our hearts are with the families who have lost loved ones and everyone impacted by the devastating wildfires on Maui and the island of Hawaii. We are deeply grateful to all of the first responders. Apple will be donating to immediate relief and long-term recovery efforts.
Tim Cook,2023-08-10 22:26:17+00:00,7329,1231,,Tune in tomorrow to watch Messi and all the Leagues Cup action with #MLSSeasonPass on @AppleTV ⚽️ https://t.co/ZqmybySBa8
Tim Cook,2023-07-26 15:00:00+00:00,5499,522,,"The passage of the Americans with Disabilities Act set a new standard for equity, accessibility, and inclusion around the world. At Apple, making technology that works for everyone is a core value, and we are dedicated to advancing this mission every day."
Tim Cook,2023-07-04 15:02:17+00:00,13881,1060,,Happy Birthday America! 🇺🇸
Tim Cook,2023-06-25 23:43:42+00:00,14695,1257,,Happy Pride! https://t.co/9wRTNVGJvc
Tim Cook,2023-06-19 15:00:02+00:00,3991,414,,"On Juneteenth, we celebrate freedom achieved, remember freedom denied, and reflect on how far we still have to go to build a more just and equitable world."
Tim Cook,2023-06-18 16:00:02+00:00,7775,644,,"To dads everywhere, including my own, thank you for sharing your love, your support, and your wisdom with us. Happy Father’s Day!"
Tim Cook,2023-06-16 14:21:34+00:00,5726,440,,We opened our newest store in London this week—Apple Battersea—just below our new UK headquarters! 🇬🇧 https://t.co/bQropFHlaW
