User,Date Created,Number of Likes,Number of Retweets,Source of Tweet,Tweet
Tim Cook,2021-12-26 16:10:18+00:00,14868,372,,Archbishop Desmond Tutu was a singular figure whose moral clarity and commitment to justice inspired a nation — and the world. His legacy will forever be an example to us all. May he rest in peace.
Tim Cook,2021-12-25 14:05:21+00:00,13206,919,,"Whether you’re together in person or together in spirit, I hope your Christmas is filled with peace and happiness. This year, I’m deeply grateful for the gift of human kindness, the miracles of modern medicine, and the strength that sustains us in uncertain times. Happy holidays!"
Tim Cook,2021-12-21 04:03:16+00:00,30176,15619,,"Typhoon Rai has caused so much devastation in the Philippines and Malaysia — so many families have lost so much. Apple will be contributing to relief, recovery, and longer-term rebuilding efforts. #OdettePH"
Tim Cook,2021-12-14 20:06:28+00:00,1747,181,,"We are proud to support the communities we're a part of. Over the last 10 years, our Employee Giving Program has contributed nearly $725M to over 39,000 organizations that are making an important difference around the world. https://t.co/lJCLDTn9Fi"
Tim Cook,2021-12-14 16:47:16+00:00,4492,375,,Congratulations to the Apple Developer Academy graduates in Brazil and Indonesia! We’re so excited to see what you create and how you will change the world as part of the global iOS app economy. Keep innovating and dreaming big! https://t.co/lBSpIHvjVW
Tim Cook,2021-12-11 22:44:30+00:00,6094,431,,Our hearts go out to all those affected by the devastating weather and tornadoes across the South and Midwest. Apple will be donating to support relief efforts on the ground.
Tim Cook,2021-12-10 00:52:34+00:00,1769,130,,"I’m deeply grateful to leaders like Bryan Stevenson @eji_org, whose unrelenting fight for justice helps push us forward. It’s wonderful to see him inducted into the Alabama Academy of Honor."
Tim Cook,2021-12-08 03:14:48+00:00,1538,123,,"Congrats @lisapjackson on being inducted into the @WITI Hall of Fame! At Apple, we want to leave the world better than we found it, and Lisa’s leadership helps us improve lives, empower communities, and build a better, more inclusive tomorrow. https://t.co/nqgN4E1VJ7"
Tim Cook,2021-12-07 01:35:45+00:00,4156,539,,"Coding is one of the world’s most important languages, and we believe everyone should have the chance to learn. Coding opens doors to new opportunities and provides valuable life skills. We can’t wait to see how these young learners create, collaborate, and change the world. https://t.co/hOapRj59KN"
Tim Cook,2021-12-03 21:22:16+00:00,3092,340,,"This International Day of Persons with Disabilities, we celebrate our deeply collaborative relationships with the disability community. At Apple, we believe the best products should be made for everyone, and we work hard to advance this every day. #IDPD"
Tim Cook,2021-12-02 22:19:30+00:00,2845,252,,"Wonderful to meet this exceptional group of developers who are this year’s @AppStore Awards winners! Your dedication to bringing new ideas to life has had a global impact, brought us together, helped us learn, have fun, and face complex challenges. https://t.co/ikqKRozvfY https://t.co/XHbRkIqBMz"
Tim Cook,2021-12-01 17:20:59+00:00,1991,210,,"Apple has partnered with @RED for 15 years to support its critical work to end AIDS in sub-Saharan Africa. Together we’re helping vulnerable communities access crucial support, providing lifesaving care to millions – which is now more urgent than ever. https://t.co/G01ewMWakY"
