User,Date Created,Number of Likes,Number of Retweets,Source of Tweet,Tweet
Tim Cook,2022-12-25 15:02:04+00:00,27110,1548,,"Today we celebrate the gift of friends and family, the hope for peace, and the joy that comes from being together. Merry Christmas!"
Tim Cook,2022-12-18 22:49:29+00:00,6324,403,,"Happy Hanukkah to all those celebrating! As you gather around the menorah with family and friends, I hope you enjoy the first of many nights filled with health and happiness. 🕎"
Tim Cook,2022-12-18 18:07:44+00:00,162266,12325,,One of the greatest games I’ve ever seen. Congratulations Argentina!
Tim Cook,2022-12-16 09:53:22+00:00,65774,3133,,🙏🇯🇵 https://t.co/vNwc9tlha8
Tim Cook,2022-12-16 08:03:04+00:00,10508,1124,,"Great to visit with the team at Inoue, a family-run business that’s been operating in Fukui for over 70 years. They are bringing together traditional craftsmanship with state-of-the-art manufacturing to weave stunning Apple Watch bands. https://t.co/wzWrwTOkpl"
Tim Cook,2022-12-16 04:39:41+00:00,3988,358,,Paralympians Daisuke Ikezaki and Shinichi Shimakawa are using Apple Watch to take their wheelchair rugby workouts to the next level. Thanks for letting me join your training session today! https://t.co/kndaP42Kzx
Tim Cook,2022-12-16 03:04:42+00:00,5365,401,,"Great to spend time with our team here in Roppongi and across Japan — thanks for all you do to support Apple, our users, and each other! https://t.co/rrGfdCyKXA"
Tim Cook,2022-12-16 01:38:53+00:00,3553,300,,It’s always such a joy to visit with the team at Apple Marunouchi. Thanks for sharing your incredible energy and passion — and for helping our customers this busy holiday season. https://t.co/R558BFiy50
Tim Cook,2022-12-15 12:21:07+00:00,3458,458,,"What an unforgettable #ShotoniPhone photo walk with @yusukeokawa, @Hisa0808, and @yukaohishi! Blown away by these talented creators and the ways they use iPhone to share their art with the world. https://t.co/UGeQP1MsJm"
Tim Cook,2022-12-15 09:33:21+00:00,6779,707,,"It’s incredible to be back in a country that’s so near and dear to our hearts at Apple. Thank you, @kishida230, for the warm reception. We’re looking forward to continuing to grow and invest across Japan. https://t.co/vxUF3nVYOV"
