User,Date Created,Number of Likes,Number of Retweets,Source of Tweet,Tweet
Tim Cook,2024-03-08 20:09:58+00:00,7155,632,,"Today and every day, we honor the immense contributions of women worldwide. Happy International Women’s Day!"
Tim Cook,2024-03-08 16:05:00+00:00,8292,664,,It’s great seeing what our users create every day with Mac — and the new MacBook Air with M3 continues to push the boundaries of what’s possible. I can’t wait to see the ideas you’ll explore and the magic you’ll make. https://t.co/CNYsql9peB https://t.co/VDbNJVY7IM
Tim Cook,2024-02-24 16:00:01+00:00,45044,5410,,"Thinking of my friend Steve on his birthday — the lives he touched, the vision he shared, and the profound impact he had on our world. “We’re here to put a dent in the universe. Otherwise, why else even be here?” https://t.co/ONDgZ6ycCe"
Tim Cook,2024-02-21 16:23:09+00:00,14241,1396,,"The new Apple Sports iPhone app makes following your favorite teams and leagues fast and simple. I can’t wait to use it during the 2024 @MLS Season, which kicks off tonight between Inter Miami CF and Real Salt Lake on #MLSSeasonPass! https://t.co/ZwMApjyKv7"
Tim Cook,2024-02-12 04:28:48+00:00,6623,384,,An amazing Super Bowl! Congratulations to back-to-back champions Kansas City!
Tim Cook,2024-02-12 03:20:05+00:00,10476,669,,What a performance from @Usher! Amazing to see so much star power on the #AppleMusicHalftime Show stage! https://t.co/amRt1VMzs0
Tim Cook,2024-02-10 21:24:28+00:00,7827,523,,No better way to kick off Super Bowl weekend than by spending time with our team members and customers at Apple Summerlin in Las Vegas! https://t.co/6XCXt6skxd
Tim Cook,2024-02-10 16:00:00+00:00,8923,670,,"To everyone celebrating around the world, Happy Lunar New Year! Sending wishes of joy in this Year of the Dragon."
Tim Cook,2024-02-03 14:09:10+00:00,14227,1102,,The NBA’s app for Apple Vision Pro is a real game changer for basketball fans — now you can watch multiple games with real-time scores and stats on an infinite canvas! Thanks to the NBA app development team and Adam Silver for taking me through how they designed it. 🏀 https://t.co/toKIbturzj
Tim Cook,2024-02-03 01:40:34+00:00,19865,2055,,"Seeing people’s reactions to trying Apple Vision Pro for the first time today was wonderful. Some people had tears in their eyes! Our mission is to enrich people’s lives, and I could feel that happening in real time. What a day! https://t.co/VOOVBgrEbo"
Tim Cook,2024-02-02 15:44:08+00:00,19162,2356,,What a thrilling morning celebrating the launch of Apple Vision Pro at Apple Fifth Avenue! The era of spatial computing has arrived! https://t.co/SORkEO87d6
Tim Cook,2024-02-02 00:16:22+00:00,40956,3817,,"Tomorrow morning, Apple Vision Pro is here! https://t.co/V6CTpvVrpr"
Tim Cook,2024-02-01 16:05:21+00:00,15191,1815,,"When Apple Vision Pro launches tomorrow, users will be able to explore more than 1 million apps, including 600 apps made specifically for Vision Pro! The creativity of developers is amazing, and this is just the beginning. Endless possibilities await! https://t.co/z5nIByMEd6"
Tim Cook,2024-01-28 17:37:40+00:00,2412,208,,It’s essential to tell these stories and we’re proud to support the Smithsonian’s efforts. https://t.co/tyb5z4PUTp
Tim Cook,2024-01-28 13:00:00+00:00,11311,1009,,"At Apple, we believe that privacy is a fundamental right and at the core of what we do. That’s why we build privacy protections into everything from Safari to the Health app. For us, #DataPrivacyDay is every day."
Tim Cook,2024-01-24 17:00:01+00:00,35639,5540,,"Mac changed everything when it was introduced 40 years ago, and through the years it has done so again and again and again. Today’s Mac lineup is the best in the history of the personal computer, and it’s built on decades of revolutionary innovation. Happy birthday Mac! https://t.co/px6QII8rX0"
Tim Cook,2024-01-19 13:30:00+00:00,42655,6722,,Apple Vision Pro pre-orders begin today! We’re so excited for you to experience spatial computing for the first time!  https://t.co/YAN2kdfZY0 https://t.co/2cqzvz5Wjq
Tim Cook,2024-01-15 15:10:50+00:00,6263,715,,"Dr. King wrote that “because of our involvement in humanity we must be concerned about every human being.” Today, we celebrate his life, honor his legacy, and aspire to walk in his footsteps. https://t.co/KuESBiK6Mt"
Tim Cook,2024-01-13 02:30:57+00:00,7309,482,,"Martin Scorsese’s Killers of the Flower Moon is such a powerful story and we were so lucky to have had Lily Gladstone, Leonardo DiCaprio, and Robert De Niro bring it to life along with an incredible cast and crew. Enjoyed celebrating their brilliant work at the AFI Awards! https://t.co/gaxPQHwoZl"
Tim Cook,2024-01-08 14:15:00+00:00,42731,6986,,The era of spatial computing has arrived! Apple Vision Pro is available in the US on February 2. https://t.co/5BK1jyEnZN
Tim Cook,2024-01-01 16:00:00+00:00,15617,1040,,Wishing everyone a new year full of hope and happiness.
