User,Date Created,Number of Likes,Number of Retweets,Source of Tweet,Tweet
Elon Musk,2024-04-15 20:34:02+00:00,25234,4478,,Interesting series about a potentially good future https://t.co/AJMmZKVh4Z
Elon Musk,2024-04-15 19:34:09+00:00,134978,28115,,"United States laws prevent 𝕏 from participating in corruption that violates the laws of other countries, which is what @Alexandre is demanding that we do https://t.co/T6bIQqwtjF"
Elon Musk,2024-04-15 18:34:59+00:00,61914,14160,,Interesting https://t.co/hQJTsYDx5v
Elon Musk,2024-04-15 18:34:21+00:00,101500,10704,,"If you’re experiencing severe neck/back pain, I recommend looking into a disc replacement. 

If you do, err on the side of a disc with limited movement. A simple hinge is more likely to be effective than a high mobility artificial disc that can translate, as well as rotate."
Elon Musk,2024-04-15 17:50:59+00:00,208084,16811,,https://t.co/wXlbpNU97H
Elon Musk,2024-04-15 16:10:37+00:00,64278,8982,,Worth noting that the actual brand safety score is almost perfect https://t.co/Im2LWbQHea
Elon Musk,2024-04-15 16:02:25+00:00,22842,3365,,Thanks to the 𝕏 team for discovering this and @DoubleVerify for responding quickly to correct the error https://t.co/H3z2IRLZmD
Elon Musk,2024-04-15 12:08:39+00:00,113878,27031,,Greece is one of dozens of countries experiencing population collapse due to low birth rates https://t.co/2qFA087SLJ
Elon Musk,2024-04-14 20:37:00+00:00,48971,7347,,Create or join 𝕏 Communities! https://t.co/TKUxiL358H
Elon Musk,2024-04-14 15:42:34+00:00,1064018,89443,,https://t.co/etG77nfB7M
Elon Musk,2024-04-14 12:04:39+00:00,610450,84243,,🤔 https://t.co/DfHjcN4L01
Elon Musk,2024-04-14 09:04:20+00:00,102909,10994,,The refreshing breeze of the Overton window opening
Elon Musk,2024-04-14 08:12:24+00:00,205721,18969,,https://t.co/zK1V35WTLF
Elon Musk,2024-04-13 23:09:22+00:00,248426,18489,,Always wondered what that chair was for https://t.co/rJfUGSEH1E
Elon Musk,2024-04-13 13:45:46+00:00,170267,26478,,😂 https://t.co/NfqP4LSIVp
Elon Musk,2024-04-13 08:14:42+00:00,27873,4366,,Join @xAI! https://t.co/vZ1FrLfgat
Elon Musk,2024-04-13 02:09:00+00:00,22350,3612,,Good deal https://t.co/XT2AOvz3Yd
Elon Musk,2024-04-13 01:58:08+00:00,89344,10475,,20th time the same booster has landed https://t.co/VeGPZqTjZ3
Elon Musk,2024-04-13 01:55:14+00:00,23886,3012,,Grok-1.5 Vision https://t.co/B9LkGwviWs
Elon Musk,2024-04-13 00:53:37+00:00,77616,9610,,https://t.co/dawkqi42pX
Elon Musk,2024-04-12 22:53:40+00:00,45524,6491,,"Thank you DoubleVerify for correcting your mistake regarding brand safety on this platform. 

When measured accurately, brand safety on 𝕏 is extremely good. https://t.co/qAiyTvEHFz"
Elon Musk,2024-04-12 20:22:21+00:00,63276,7512,,Supervised full self-driving now $99/month https://t.co/UoZ0MvirxW
Elon Musk,2024-04-12 17:31:45+00:00,83963,20374,,Wow https://t.co/niHZz9IU8J
Elon Musk,2024-04-12 17:10:40+00:00,1147265,108402,,To an exciting &amp; inspiring future! https://t.co/WUIqN7B2F6
Elon Musk,2024-04-12 17:08:27+00:00,792421,93150,,Libertad! https://t.co/BiDyvh0K7s
Elon Musk,2024-04-12 14:24:44+00:00,118943,19476,,And the appeal process is a sham https://t.co/zdlvrneFhm
Elon Musk,2024-04-12 03:30:21+00:00,57718,12192,,Facts … https://t.co/DmJ9P4CQm8
Elon Musk,2024-04-12 03:26:59+00:00,32236,4068,,Our advertising relevance has greatly improved https://t.co/fKoeQd8As1
Elon Musk,2024-04-12 02:48:45+00:00,29941,4461,,Advertise on 𝕏 https://t.co/z1ZLcjInDt
Elon Musk,2024-04-12 01:47:56+00:00,74263,14157,,Let’s see what the public thinks https://t.co/mmCk3tylb9
Elon Musk,2024-04-12 01:40:00+00:00,49627,6329,,"The Model S &amp; X Plaid (meaning, beyond ludicrous speed) are sublime https://t.co/VJOzDqUZBx"
Elon Musk,2024-04-11 22:55:43+00:00,51974,5772,,Community Notes will now show faster https://t.co/QuFdcln6wf
Elon Musk,2024-04-11 19:07:08+00:00,59822,6768,,Glad Tesla FSD was there to help and that you’re feeling well! https://t.co/8krLuAMEaj
Elon Musk,2024-04-11 15:35:36+00:00,48154,6530,,"Congrats SpaceX Team &amp; @SpaceForceDoD on completing 3 orbital Vandenberg launches in 11 days!

Might be a record. https://t.co/72OQELpXyj"
Elon Musk,2024-04-11 15:28:52+00:00,122252,25744,,Tyranny https://t.co/r3Se5J542z
Elon Musk,2024-04-11 14:56:40+00:00,25907,3705,,😂 https://t.co/dmSYpTuHDx
Elon Musk,2024-04-11 14:47:37+00:00,213564,43888,,"The severity of the censorship and the degree to which Brazil’s own laws are being broken, to the detriment of their own people, is the worst of any country in the world in which this platform operates. https://t.co/dWa3Mkrkas"
Elon Musk,2024-04-11 14:44:28+00:00,127055,26947,,Accurate https://t.co/0rnrWmELM7
Elon Musk,2024-04-11 12:06:40+00:00,555236,38276,,https://t.co/eIhSUbjBH2
Elon Musk,2024-04-11 10:56:00+00:00,130579,26357,,True https://t.co/VnTdG12lGV
Elon Musk,2024-04-11 06:19:16+00:00,337215,33855,,😱 https://t.co/8RPvaJ4gqV
Elon Musk,2024-04-11 06:13:53+00:00,89683,13713,,Your support is much appreciated. Makes a difference. https://t.co/qgxx6Q7gbi
Elon Musk,2024-04-11 05:39:17+00:00,39096,7956,,Interesting https://t.co/UwkEtQo40m
Elon Musk,2024-04-11 04:22:48+00:00,87375,15396,,Sounds balanced … 😂 https://t.co/CR1ncKqw0d
Elon Musk,2024-04-11 04:17:16+00:00,70031,10730,,Exactly https://t.co/X31HS1GtJ5
Elon Musk,2024-04-11 04:02:28+00:00,87924,18330,,We were asked to suspend sitting members of the Brazilian parliament and many journalists https://t.co/XgKeERkMPA
Elon Musk,2024-04-11 03:58:53+00:00,143435,29141,,Exactly. Dictator @Alexandre. https://t.co/glhcFdYSb2
Elon Musk,2024-04-11 03:57:29+00:00,254761,40092,,"𝕏 just received an inquiry from the US House of Representatives regarding actions taken in Brazil that were in violation of Brazilian law.

There were hundreds, if not thousands.

This is getting spicy 🌶️"
Elon Musk,2024-04-11 02:19:26+00:00,153579,26909,,"True
 https://t.co/qQEe4O29SD"
Elon Musk,2024-04-10 21:43:27+00:00,205783,16820,,𝕏 algorithm update coming soon with more bangers and less clickbait!
Elon Musk,2024-04-10 17:48:49+00:00,93069,15615,,Exactly https://t.co/tHdveqQjbK
Elon Musk,2024-04-10 17:44:59+00:00,260537,27860,,Looking forward to meeting with Prime Minister @NarendraModi in India!
Elon Musk,2024-04-10 17:35:15+00:00,174204,30311,,"𝕏 respects the laws of Brazil and all countries in which we operate.

When given an order to break the law, we must refuse. https://t.co/vLuFUP9gN8"
Elon Musk,2024-04-10 15:08:32+00:00,45467,5236,,"With Starlink, it feels like you’re on the ground, rather than in the air! https://t.co/qzTJIH1AHu"
Elon Musk,2024-04-10 13:35:52+00:00,213199,33897,,You are most welcome 🙏 https://t.co/rNrsep3tfc
Elon Musk,2024-04-10 04:12:02+00:00,340354,56893,,Brave man https://t.co/eB4es8ZgJ1
Elon Musk,2024-04-10 03:44:50+00:00,229010,38152,,"Precisely 
 https://t.co/mbnnpIHVbD"
Elon Musk,2024-04-09 22:27:39+00:00,75541,13225,,Accurate https://t.co/Oen5ct1aNB
Elon Musk,2024-04-09 22:17:23+00:00,238942,41633,,Much appreciated https://t.co/WcbTipBIV4
Elon Musk,2024-04-09 18:20:06+00:00,70376,11085,,And fast https://t.co/JwCLUrcTlz
Elon Musk,2024-04-09 11:55:40+00:00,232251,23988,,What are the odds? 😂 https://t.co/NSRIHfrV4O
Elon Musk,2024-04-09 11:26:40+00:00,70746,7031,,Starlink now available in Albania! https://t.co/FD0PWaAYED
Elon Musk,2024-04-09 04:39:42+00:00,488614,75117,,https://t.co/idCPsSCiPp
Elon Musk,2024-04-09 01:19:02+00:00,294482,43499,,How did @Alexandre de Moraes become the dictator of Brazil? He has Lula on a leash 😂
Elon Musk,2024-04-09 01:05:32+00:00,84587,9177,,Great idea 😂 https://t.co/I9gr9K3vlT
Elon Musk,2024-04-09 00:45:01+00:00,179393,34451,,"The law applies to all, including @Alexandre. He should be on trial for his crimes. https://t.co/BuFnIzjMEy"
Elon Musk,2024-04-09 00:27:50+00:00,404282,52187,,"View of the eclipse from orbit
 https://t.co/2jQGNhPf2v"
Elon Musk,2024-04-08 20:27:48+00:00,168194,24746,,https://t.co/gKoHxYpHPC
Elon Musk,2024-04-08 20:05:29+00:00,38734,5930,,The AI compute growth chart says it all https://t.co/Lj2o4CfVN8
Elon Musk,2024-04-08 19:44:34+00:00,190970,17007,,Was cool to see the eclipse from Austin. ~27 years before it happens here again. https://t.co/lYNfBIyjb5
Elon Musk,2024-04-08 19:40:07+00:00,477814,43023,,https://t.co/0mqZh1oK6J
Elon Musk,2024-04-08 18:03:38+00:00,155612,29592,,"𝕏 supports the people of Brazil, without regard to political affiliation. 

Does Judge @Alexandre? https://t.co/m2FVOvoyNv"
Elon Musk,2024-04-08 17:21:28+00:00,375065,45120,,https://t.co/r5T7V5ZO6Q
Elon Musk,2024-04-08 17:14:41+00:00,124992,24242,,"[Scene: @Alexandre &amp; @ElonMusk in psychoanalysis]

I say, “Tell me, Alexandre, is the disinformation in the room with us now?” https://t.co/yhvOmrysaZ"
Elon Musk,2024-04-08 17:09:42+00:00,164707,37107,,"This is the heart of the problem. What say you @Alexandre?

Let us debate this in the open. https://t.co/E2HsU6Winr"
Elon Musk,2024-04-08 17:07:37+00:00,56824,8445,,Yes https://t.co/SCFgKpbHdZ
Elon Musk,2024-04-08 15:40:20+00:00,79521,12694,,Accurate https://t.co/lZRF8yHN3h
Elon Musk,2024-04-08 02:44:50+00:00,141445,31210,,They want to stack the deck https://t.co/CnRNrraBGF
Elon Musk,2024-04-07 22:25:13+00:00,159586,28691,,Using a VPN is very easy https://t.co/vWcCRn3S5J
Elon Musk,2024-04-07 21:43:38+00:00,183689,32651,,"To ensure that you can still access the 𝕏 platform, download a virtual private network (VPN) app https://t.co/ui55eq2KKp"
Elon Musk,2024-04-07 21:04:47+00:00,138452,24429,,These are the most draconian demands of any country on Earth! https://t.co/BkLq52cDtW
Elon Musk,2024-04-07 16:33:09+00:00,125118,20506,,Well said https://t.co/Oy5FugrMmc
Elon Musk,2024-04-07 15:30:22+00:00,51316,7600,,More Starlink DTC satellites rolling out https://t.co/TJLjZesEfL
Elon Musk,2024-04-07 15:29:03+00:00,195382,45494,,"This is crazy, as it makes fraud impossible to detect https://t.co/pdCfge0Qd4"
