User,Date Created,Number of Likes,Number of Retweets,Source of Tweet,Tweet
Google,2023-12-28 18:14:46+00:00,824,110,,"ok, be honest: what’s something you search even though you already know the answer?"
Google,2023-12-27 21:44:17+00:00,1147,282,,"25 years ago, we launched Search. This year, we're honoring the most searched icons of all time. #YearInSearch  https://t.co/ccpQryIqRO"
Google,2023-12-27 00:06:29+00:00,470,89,,there's always one in the family that can't be trusted on family game night https://t.co/qdIkO6cmR5
Google,2023-12-26 18:36:00+00:00,497,89,,Save time when calling customer service with this easy Pixel tip ↓ https://t.co/mu7xWJwFoD
Google,2023-12-26 15:38:00+00:00,424,100,,From the most-searched pizza style to the astrological sign that pairs with Leos: See how well you know some of our most-searched @GoogleTrends ↓ https://t.co/Rg0Yk6unsk
Google,2023-12-22 21:06:18+00:00,366,96,,Do your searches match your city? Take the quiz to find out → https://t.co/zXFp6R9n20 #YearInSearch https://t.co/TvwZoZ3am2
Google,2023-12-22 16:36:09+00:00,446,108,,"Billions of searches. One Tina. 

This year, we’re celebrating the most searched icons of all time. https://t.co/5Tp2BOQous #YearInSearch https://t.co/oAQe9t68yC"
Google,2023-12-21 23:07:44+00:00,322,64,,"Who's hungry? 🙋 Chinese is the most searched cuisine of all time 😋. What dish are YOU searching for most? Drop an emoji with your choice below!

🍚 Fried rice
🌶️ Kung Pao chicken
🥢 Chow mein
🥟 Shrimp dumplings

#YearInSearch https://t.co/Aqf6yAIOBS"
Google,2023-12-21 21:52:42+00:00,386,91,,300+ languages are spoken in Nigeria — and better representation is needed in LLMs to build inclusive AI for everyone in the country. Learn how the HausaNLP Research Group is using Google Colab to bridge language gaps and democratize AI →  https://t.co/DGoUz2rDTT https://t.co/PNjNkWm8vh
Google,2023-12-21 20:36:07+00:00,297,71,,"Let Santa bring some good cheer to your drives this ho-ho-holiday season. 🎅 Pair Santa’s voice navigation with his signature sleigh for a holly, jolly ride. ✨🛷 Activate the experience → https://t.co/BWPStXXgSb https://t.co/1jWnrUyA2u"
Google,2023-12-21 19:16:47+00:00,259,55,,Punk is far from dead — it's the most searched subculture of all time. 🎸 What bands are at the top of your playlist?  #YearInSearch https://t.co/KP1xUDjCHN
Google,2023-12-21 18:11:30+00:00,560,95,,"Bad adoption photos can ruin a dog’s chance of finding a fur-ever home. 🐶 With #PixelPawtraits, we’re giving shelters across America #Pixel8 Pros, because all dogs deserve to be shown in their best light. Learn more → https://t.co/qV1jvnakuk https://t.co/EDO7ICKkqv"
Google,2023-12-21 15:10:07+00:00,126,36,,"Ready for the Most Searched lists for every year? We welcome you to Google Trends Time Capsule: https://t.co/7dsIdqu6Y9 

Let the search begin 😎"
Google,2023-12-21 15:00:00+00:00,739,121,,"It’s almost time to say goodbye to 2023 — but first, let’s take a look back at 23 of our biggest moments in 2023 ↓ https://t.co/W0VMe4OYUM"
