User,Date Created,Number of Likes,Number of Retweets,Source of Tweet,Tweet
Elon Musk,2024-04-29 20:18:35+00:00,53821,8132,,You can now play videos on most TVs from your phone https://t.co/XYmz6eUnf9
Elon Musk,2024-04-29 20:04:24+00:00,41692,9741,,True https://t.co/BrgiCZsMVx
Elon Musk,2024-04-29 19:47:21+00:00,46027,9692,,"Unfortunately, Meta/Facebook/Instagram is highly skilled at taking advertising credit for traffic that actually comes from our platform (sigh) https://t.co/Cunw2KDUB7"
Elon Musk,2024-04-29 18:26:41+00:00,70593,14246,,Having babies is a “right-wing plot” to save humanity from extinction 😂 https://t.co/wQzs9fsL1b
Elon Musk,2024-04-29 18:16:29+00:00,169972,42720,,"The USA only has ~4% of Earth’s population. Just 1% of Earth moving to America would overwhelm essential medical and other services. 

It’s not sustainable. 

As always, I’m very much in favor of *legal* immigration. Anyone smart, hardworking and honest should be welcome here. https://t.co/M2TmdbETds"
Elon Musk,2024-04-29 17:53:07+00:00,105700,14266,,https://t.co/wl9k99TL3h
Elon Musk,2024-04-29 17:34:22+00:00,51543,10446,,"Worth hearing this lecture by @GadSaad 
 https://t.co/WEsflJtXGV"
Elon Musk,2024-04-29 16:24:44+00:00,365180,28700,,https://t.co/eygrdIhWZz
Elon Musk,2024-04-29 15:25:13+00:00,207612,23124,,https://t.co/PJgxu0AszT
Elon Musk,2024-04-29 02:15:49+00:00,64407,12796,,"If birth rates continue to plummet, human civilization will end
https://t.co/9PqnUW0QoG"
Elon Musk,2024-04-28 18:58:32+00:00,250248,33007,,"Make comedy legal again!
 https://t.co/nTf9wmlfzn"
Elon Musk,2024-04-28 13:58:08+00:00,40299,8450,,This would be crazy! https://t.co/5BnRVangey
Elon Musk,2024-04-28 13:27:13+00:00,205544,20494,,"Honored to meet with Premier Li Qiang.

We have known each other now for many years, since early Shanghai days. https://t.co/JCnv6MbZ6W"
Elon Musk,2024-04-28 13:03:07+00:00,28723,4494,,"Model 3 Performance is epic
 https://t.co/kyYRWFAF4X"
Elon Musk,2024-04-28 04:41:59+00:00,19101,2869,,Add your podcast to 𝕏 for vastly greater viewership! https://t.co/oR4rM8kWPY
Elon Musk,2024-04-28 03:42:43+00:00,154604,25492,,"If you teach that “weak makes right”, then the perceived stronger party – in this case, Israel – is wrong.

Morals should be taught in the absolute, meaning that it is possible for either the strong or weak to be morally good, depending on their actions. https://t.co/IadRUpWap4"
Elon Musk,2024-04-28 03:12:08+00:00,269679,20410,,An incredible epoch of aerospace https://t.co/e5056QmZ7L
Elon Musk,2024-04-28 01:56:03+00:00,357865,25048,,https://t.co/suGbbJx8lR
Elon Musk,2024-04-28 01:55:06+00:00,40131,6968,,The Guardian is down by 2/3 since 2020 https://t.co/bL4C7cUdTV https://t.co/xk87Ai6yZY
Elon Musk,2024-04-28 01:49:36+00:00,185764,39309,,Surely demanding overthrow of the government in Germany is illegal? https://t.co/WHsHHNJBg5
Elon Musk,2024-04-28 01:48:01+00:00,381319,83064,,He knows what he’s talking about https://t.co/2b9CCvQdPp
Elon Musk,2024-04-28 01:07:05+00:00,125202,30203,,"The problem with “Great Replacement Theory” is that it fails to address the foundational issue of low birth rates.

Record low birth rates are leading to population collapse in Europe and even faster population collapse in most of Asia. Immigration is low in Asia, so there is no… https://t.co/VwxxfWTDcf https://t.co/ddGM5R6vWh"
Elon Musk,2024-04-28 00:13:59+00:00,40497,6205,,"As Cathie Wood states, Tesla is the biggest AI project on Earth https://t.co/yaWq1j6fEd"
Elon Musk,2024-04-27 23:34:50+00:00,166469,22820,,https://t.co/2cyem8ZxTD
Elon Musk,2024-04-27 19:35:01+00:00,52034,8877,,🤔 https://t.co/RYQXxfQsHQ
Elon Musk,2024-04-26 22:40:05+00:00,329190,25507,,"Dustin, wd u lik sum t? https://t.co/8m95snbLuJ"
Elon Musk,2024-04-26 22:23:08+00:00,236626,25892,,https://t.co/Kt3efgjKEd
Elon Musk,2024-04-26 21:28:12+00:00,31166,4354,,Try out Tesla supervised full self-driving and you’ll be amazed! https://t.co/ZQ3mYV27DN
Elon Musk,2024-04-26 20:02:21+00:00,27614,5623,,What more do we need to do to improve Communities? https://t.co/gZBaY7Tuv8
Elon Musk,2024-04-26 18:45:09+00:00,27250,7064,,Great interview with @johanknorberg! https://t.co/GVXvOER85r
Elon Musk,2024-04-26 07:33:06+00:00,49025,9235,,Best illustration I’ve seen https://t.co/efMKHV0SQl
Elon Musk,2024-04-26 06:01:07+00:00,768315,112185,,"Babe, tell me the truth … https://t.co/kkW3GXNBVl"
Elon Musk,2024-04-26 05:20:32+00:00,81177,12449,,"Most of history had and still most of the world has “might makes right” as the axiomatic error. 

If any thought is given to it, you should obviously consider morality in the absolute! Deeds done determine good or bad, not whether one party is stronger or weaker than the other."
Elon Musk,2024-04-26 05:19:26+00:00,192777,31366,,"The axiomatic error undermining much of Western Civilization is “weak makes right”. 

If someone accepts, explicitly or implicitly, that the oppressed are always the good guys, then the natural conclusion is that the strong are the bad guys."
Elon Musk,2024-04-25 23:43:24+00:00,107835,24791,,"Absolutely true!

“The evidence is overwhelming that the majority of people on the street are there because of untreated mental illness or addiction, which leads people to use all their money to support their drug habit and be high, rather than work.” https://t.co/nWfcOgS92r"
Elon Musk,2024-04-25 23:14:43+00:00,199425,48850,,"Late last year, several 𝕏 employees were threatened by a guy with a machete outside the Walgreens on Market St in SF. 

They didn’t report it, because that doesn’t constitute an arrestable crime in California. 

That guy later killed 3 people. https://t.co/FPSnbwn9Z8"
Elon Musk,2024-04-25 22:06:44+00:00,219609,29962,,People want the truth https://t.co/mHrv9qQ7Gr
Elon Musk,2024-04-25 20:54:50+00:00,100028,21618,,"While many other countries are worse, America is trending towards extinction! https://t.co/x6ak0T1k5r"
Elon Musk,2024-04-25 11:24:03+00:00,61381,7985,,Starlink now available in Micronesia! https://t.co/flGAjYXiMA
Elon Musk,2024-04-25 10:43:11+00:00,218269,44365,,Concerning https://t.co/DFQd0Sw8c1
Elon Musk,2024-04-24 17:35:47+00:00,206303,31977,,People want the truth https://t.co/15JEasUUPF
Elon Musk,2024-04-24 08:42:08+00:00,332690,66105,,"This graph illustrates the woke mind virus taking over legacy media. 

Same happened with online media and the education system. Then it spread to other countries. 

Infection rate almost 100%.

But now it will die. https://t.co/z5wMNfRym2"
Elon Musk,2024-04-23 23:53:23+00:00,109628,13205,,Congrats @SpaceX team on 300 rocket landings! https://t.co/XdaKrfDCbq
Elon Musk,2024-04-23 19:22:13+00:00,202637,29764,,Wow https://t.co/3kyelKLL3p
Elon Musk,2024-04-23 19:08:10+00:00,67365,12026,,You are right! https://t.co/u0oURGyDgN
Elon Musk,2024-04-23 17:37:35+00:00,94300,12205,,"Tesla has now created over 30,000 manufacturing jobs in California! https://t.co/jjFX4FVlM2"
Elon Musk,2024-04-23 17:18:28+00:00,244657,27108,,Yikes https://t.co/xCQbRWzgHl
Elon Musk,2024-04-23 16:52:25+00:00,83931,12587,,Yeah https://t.co/JdeXzYteQ2
Elon Musk,2024-04-23 16:28:31+00:00,79144,9531,,Model 3 is quicker than a Porsche 911 https://t.co/y3FUJ0zEOI
Elon Musk,2024-04-23 16:20:14+00:00,146231,27820,,"The Australian people want the truth.

𝕏 is the only one standing up for their rights. https://t.co/6ZwzNejKLq"
Elon Musk,2024-04-23 15:22:12+00:00,316529,37839,,Morgan Freeman is awesome https://t.co/JcIQ1yMDoc
Elon Musk,2024-04-23 15:08:41+00:00,398019,74322,,https://t.co/wE4xtPrZx0
Elon Musk,2024-04-23 01:38:34+00:00,131033,28797,,"That is exactly the issue. 

Should the eSafety Commissar (an unelected official) in Australia have authority over all countries on Earth? https://t.co/wzv4Uinx8y"
Elon Musk,2024-04-23 00:54:44+00:00,26676,3159,,Major milestone https://t.co/qc3apufWUD
Elon Musk,2024-04-23 00:31:47+00:00,58550,6125,,"The notification tab is currently in chronological order only. 

We’re working on a ranking option there, like For you vs Following."
Elon Musk,2024-04-23 00:24:35+00:00,213702,21192,,https://t.co/w5EHJAx5g6
